Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,,BATTERY,BT1,BATTERY,Keystone_103_1x20mm-CoinCell,1,
2,Unpolarized capacitor,C,C2,C,C_Disc_D3.0mm_W2.0mm_P2.50mm,1,
3,Polarised capacitor,CP,C1 C3,CP,CP_Radial_D6.3mm_P2.50mm,2,
4,DC Barrel Jack,BARREL_JACK,CON1,BARREL_JACK,BARREL_JACK,1,
5,"Diode, small symbol",D_Small,D1,D_Small,D_DO-15_P10.16mm_Horizontal,1,
6,"Connector, single row, 01x02, pin header",CONN_01X02,J2,CONN_01X02,Pin_Header_Straight_1x02_Pitch2.54mm,1,
7,"Connector, single row, 01x03, pin header",CONN_01X03,J1 P4,CONN_01X03,Pin_Header_Straight_1x03_Pitch2.54mm,2,
8,"Connector, single row, 01x04, pin header",CONN_01X04,P9,CONN_01X04,Socket_Strip_Straight_1x04_Pitch2.54mm,1,
9,"Connector, single row, 01x05, pin header",CONN_01X05,P7 P16,CONN_01X05,Socket_Strip_Straight_1x05_Pitch2.54mm,2,
10,"Connector, single row, 01x08, pin header",CONN_01X08,P1 P2 P12 P13 P14,CONN_01X08,Socket_Strip_Straight_1x08_Pitch2.54mm,5,
11,"Connector, single row, 01x10, pin header",CONN_01X10,P3,CONN_01X10,Socket_Strip_Straight_1x10_Pitch2.54mm,1,
12,"Connector, single row, 01x24, pin header",CONN_01X24,P5 P11,CONN_01X24,Socket_Strip_Straight_1x24_Pitch2.54mm,2,
13,"Connector, double row, 02x03, pin header",CONN_02X03,P15,CONN_02X03,Socket_Strip_Straight_2x03_Pitch2.54mm,1,
14,"Connector, double row, 02x04, pin header",CONN_02X04,P8,CONN_02X04,Socket_Strip_Straight_2x04_Pitch2.54mm,1,
15,"Connector, double row, 02x05, pin header",CONN_02X05,P6,CONN_02X05,Socket_Strip_Straight_2x05_Pitch2.54mm,1,
16,"Connector, double row, 02x18, pin header",CONN_02X18,P10,CONN_02X18,Socket_Strip_Straight_2x18_Pitch2.54mm,1,
17,,SW_PUSH,SW2,PGM,SW_PUSH,1,
18,,Switch_SPDT_x2,SW1,PWR SEL,SW_SPDT,1,
19,,SW_PUSH,SW3,RST,SW_PUSH,1,
20,"1A Low drop-out regulator, Adjustable Output 1.25 - 18.8V, SOT223",NCP1117ST50T3G_MountingTab,U1,NCP1117ST50T3G_MountingTab,SOT-223,1,http://www.onsemi.com/pub_link/Collateral/NCP1117-D.PDF
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Component Groups:,20,,,,,,
Component Count:,28,,,,,,
Fitted Components:,28,,,,,,
Number of PCBs:,1,,,,,,
Total components:,28,,,,,,
Schematic Version:,,,,,,,
Schematic Date:,,,,,,,
BoM Date:,6/21/2018 18:24,,,,,,
Schematic Source:,C:/Users/CyberPalin/Documents/Kicad Test/Teensy35Mega/Teensy35Mega.sch,,,,,,
KiCad Version:,Eeschema 4.0.6,,,,,,
